假如把犯得起的錯 能錯的都錯過	假如把犯得起的错 能错的都错过	jiǎ rú bǎ fàn dé qǐ de cuò néng cuò de dōu cuò guò	If all those wrongs that can be committed, if I avoid all the ones that can be avoided,
應該還來得及去悔過	应该还来得及去悔过	yīng gāi hái lái dé jí qù huǐ guò	I should have enough time to repent.
假如沒把一切說破	假如没把一切说破	jiǎ rú méi bǎ yí qiè shuō pò	If I didn’t tell the whole truth,
那一場小風波 將一笑帶過	那一场小风波 将一笑带过	nà yì chǎng xiǎo fēng bō jiāng yí xiào dài guò	That small storm would have been over with a smile.
在感情面前 講什麼自我	在感情面前 讲什么自我	zài gǎn qíng miàn qián jiǎng shén me zì wǒ	In the face of love, who can still be selfish?
要得過且過 才好過	要得过且过 才好过	yào dé guò qiě guò cái hǎo guò	Muddling along is the best way to be.
全都怪我	全都怪我	quán dōu guài wǒ	It’s all my fault.
不該沉默時沉默 該勇敢時軟弱	不该沉默时沉默 该勇敢时软弱	bù gāi chén mò shí chén mò gāi yǒng gǎn shí ruǎn ruò	I shouldn’t have been silent when I should have said something, shouldn’t have been weak when I should have been strong.
如果不是我 誤會自己洒脫 讓我們難過	如果不是我 误会自己洒脱 让我们难过	rú guǒ bú shì wǒ wù huì zì jǐ sǎ tuō ràng wǒ men nán guò	If I didn’t think that I could let go, letting us be miserable,
可當初的你 和現在的我 假如重來過	可当初的你 和现在的我 假如重来过	kě dāng chū de nǐ hé xiàn zài de wǒ jiǎ rú chóng lái guò	But the you then and the me now, if we start over
倘若那天	倘若那天	tǎng ruò nà tiān	If that day
把該說的話好好說 該體諒的不執著	把该说的话好好说 该体谅的不执著	bǎ gāi shuō de huà hǎo hǎo shuō gāi tǐ liàng de bù zhí zhuó	I said everything that should be said, didn’t insist on things that should be understood,
如果那天我 不受情緒挑撥 你會怎麼做	如果那天我 不受情绪挑拨 你会怎么做	rú guǒ nà tiān wǒ bú shòu qíng xù tiǎo bó nǐ huì zěn me zuò	If that day I didn’t let my emotions guide me, what would you have done?
那麼多如果 可能如果我	那么多如果 可能如果我	nà me duō rú guǒ kě néng rú guǒ wǒ	So many ifs, maybe if I
可惜沒如果 只剩下結果	可惜没如果 只剩下结果	kě xī méi rú guǒ zhǐ shèng xià jié guǒ	Too bad there are no ifs, there are only consequences.
如果早點了解 那率性的你	如果早点了解 那率性的你	rú guǒ zǎo diǎn liǎo jiě nà shuài xìng de nǐ	If I understood earlier that whimsical you,
或者晚一點 遇上成熟的我	或者晚一点 遇上成熟的我	huò zhě wǎn yì diǎn yù shàng chéng shú de wǒ	Or if we met a little later, a more mature me.
不過	不过	bú guò	But
全都怪我	全都怪我	quán dōu guài wǒ	It’s all my fault.
不該沉默時沉默 該勇敢時軟弱	不该沉默时沉默 该勇敢时软弱	bù gāi chén mò shí chén mò gāi yǒng gǎn shí ruǎn ruò	I shouldn’t have been silent when I should have said something, shouldn’t have been weak when I should have been strong.
如果不是我 誤會自己洒脫 讓我們難過	如果不是我 误会自己洒脱 让我们难过	rú guǒ bú shì wǒ wù huì zì jǐ sǎ tuō ràng wǒ men nán guò	If I didn’t think that I could let go, letting us be miserable,
可當初的你 和現在的我 假如重來過	可当初的你 和现在的我 假如重来过	kě dāng chū de nǐ hé xiàn zài de wǒ jiǎ rú chóng lái guò	But the you then and the me now, if we start over
倘若那天	倘若那天	tǎng ruò nà tiān	If that day
把該說的話好好說 該體諒的不執著	把该说的话好好说 该体谅的不执著	bǎ gāi shuō de huà hǎo hǎo shuō gāi tǐ liàng de bù zhí zhuó	I said everything that should be said, didn’t insist on things that should be understood,
如果那天我 不受情緒挑撥 你會怎麼做	如果那天我 不受情绪挑拨 你会怎么做	rú guǒ nà tiān wǒ bú shòu qíng xù tiǎo bó nǐ huì zěn me zuò	If that day I didn’t let my emotions guide me, what would you have done?
那麼多如果 可能如果我	那么多如果 可能如果我	nà me duō rú guǒ kě néng rú guǒ wǒ	So many ifs, maybe if I
可惜沒如果 沒有你和我	可惜没如果 没有你和我	kě xī méi rú guǒ méi yǒu nǐ hé wǒ	Too bad there are no ifs, there is no you and me.
都怪我	都怪我	dōu guài wǒ	All my fault.
不該沉默時沉默 該勇敢時軟弱	不该沉默时沉默 该勇敢时软弱	bù gāi chén mò shí chén mò gāi yǒng gǎn shí ruǎn ruò	I shouldn’t have been silent when I should have said something, shouldn’t have been weak when I should have been strong.
如果不是我 誤會自己洒脫 讓我們難過	如果不是我 误会自己洒脱 让我们难过	rú guǒ bú shì wǒ wù huì zì jǐ sǎ tuō ràng wǒ men nán guò	If I didn’t think that I could let go, letting us be miserable,
可當初的你 和現在的我 假如重來過	可当初的你 和现在的我 假如重来过	kě dāng chū de nǐ hé xiàn zài de wǒ jiǎ rú chóng lái guò	But the you then and the me now, if we start over
倘若那天	倘若那天	tǎng ruò nà tiān	If that day
把該說的話好好說 該體諒的不執著	把该说的话好好说 该体谅的不执著	bǎ gāi shuō de huà hǎo hǎo shuō gāi tǐ liàng de bù zhí zhuó	I said everything that should be said, didn’t insist on things that should be understood,
如果那天我 不受情緒挑撥 你會怎麼做	如果那天我 不受情绪挑拨 你会怎么做	rú guǒ nà tiān wǒ bú shòu qíng xù tiǎo bó nǐ huì zěn me zuò	If that day I didn’t let my emotions guide me, what would you have done?
那麼多如果 可能如果我	那么多如果 可能如果我	nà me duō rú guǒ kě néng rú guǒ wǒ	So many ifs, maybe if I
可惜沒如果 只剩下結果	可惜没如果 只剩下结果	kě xī méi rú guǒ zhǐ shèng xià jié guǒ	Too bad there are no ifs, there are only consequences.
可惜沒如果	可惜没如果	kě xī méi rú guǒ	Too bad there are no ifs
